"Product Name","Quantity","Sell Price","Date Sold","Product Category"
"Luxurious Plastic Mouse","88","$296.66","01/03/2024","Plastic"
"Sleek Concrete Hat","14","$209.35","09/27/2023","Soft"
"Ergonomic Fresh Tuna","19","$933.95","06/04/2023","Concrete"
"Bespoke Rubber Shoes","82","$23.72","10/26/2023","Soft"
"Oriental Metal Salad","38","$22.22","08/09/2023","Fresh"
"Licensed Concrete Sausages","21","$840.42","02/22/2023","Fresh"
"Bespoke Wooden Keyboard","75","$742.01","08/22/2023","Plastic"
"Licensed Soft Tuna","40","$595.85","09/23/2023","Plastic"
"Recycled Soft Towels","75","$733.78","12/14/2023","Concrete"
"Bespoke Concrete Bike","29","$872.05","03/14/2024","Metal"
"Intelligent Cotton Fish","54","$558.84","09/20/2023","Plastic"
"Luxurious Cotton Towels","35","$871.48","09/24/2023","Metal"
"Incredible Wooden Chair","28","$7.17","09/12/2023","Plastic"
"Generic Steel Ball","93","$803.08","02/15/2024","Bronze"
"Incredible Fresh Chips","19","$964.10","12/15/2022","Bronze"
"Modern Granite Pants","30","$994.19","08/24/2023","Metal"
"Generic Bronze Pants","19","$331.58","06/24/2023","Fresh"
"Fantastic Concrete Ball","91","$399.77","03/27/2024","Frozen"
"Luxurious Frozen Mouse","76","$665.17","11/25/2023","Rubber"
"Unbranded Metal Shirt","88","$95.35","02/15/2024","Concrete"
"Refined Steel Salad","72","$154.10","11/19/2023","Frozen"
"Elegant Steel Pants","89","$665.92","12/19/2022","Wooden"
"Modern Concrete Keyboard","95","$518.13","09/01/2023","Metal"
"Luxurious Bronze Ball","87","$678.59","06/12/2023","Metal"
"Sleek Soft Cheese","93","$569.25","12/21/2023","Soft"
"Sleek Concrete Ball","61","$178.79","12/02/2023","Granite"
"Recycled Rubber Towels","32","$251.83","11/28/2023","Steel"
"Modern Steel Chicken","12","$257.56","04/09/2024","Frozen"
"Luxurious Plastic Sausages","91","$740.29","02/09/2023","Wooden"
"Bespoke Plastic Mouse","6","$47.54","09/15/2023","Metal"
"Unbranded Plastic Table","37","$910.02","02/01/2023","Granite"
"Incredible Fresh Chips","24","$831.94","09/20/2023","Granite"
"Ergonomic Frozen Gloves","99","$268.98","08/26/2023","Concrete"
"Rustic Fresh Fish","68","$915.12","01/15/2024","Frozen"
"Tasty Cotton Bike","36","$231.34","03/15/2024","Metal"
"Elegant Fresh Ball","92","$327.51","02/04/2023","Cotton"
"Gorgeous Cotton Mouse","25","$429.56","01/15/2023","Soft"
"Rustic Soft Ball","54","$668.28","09/25/2023","Bronze"
"Sleek Concrete Shirt","71","$399.74","02/08/2024","Steel"
"Fantastic Fresh Chips","51","$585.33","12/10/2023","Soft"
"Practical Metal Car","40","$81.88","04/26/2024","Fresh"
"Modern Granite Gloves","56","$92.05","08/22/2023","Frozen"
"Unbranded Granite Towels","69","$67.38","12/23/2022","Soft"
"Awesome Granite Soap","6","$797.10","07/19/2023","Rubber"
"Bespoke Metal Fish","39","$639.57","01/03/2023","Plastic"
"Intelligent Wooden Towels","24","$869.11","08/30/2023","Steel"
"Generic Steel Fish","9","$643.98","05/31/2023","Fresh"
"Practical Fresh Keyboard","30","$211.49","02/06/2023","Frozen"
"Incredible Metal Chicken","95","$911.54","01/25/2023","Bronze"
"Electronic Rubber Mouse","51","$635.44","12/28/2023","Steel"
"Electronic Steel Chair","84","$697.03","09/24/2023","Fresh"
"Sleek Plastic Keyboard","66","$658.86","02/06/2024","Metal"
"Small Soft Chair","81","$590.62","01/24/2024","Soft"
"Oriental Metal Soap","71","$990.01","02/10/2023","Fresh"
"Incredible Wooden Keyboard","6","$13.37","03/07/2023","Cotton"
"Small Concrete Cheese","23","$335.39","12/22/2022","Granite"
"Licensed Soft Gloves","9","$903.63","12/06/2023","Granite"
"Licensed Granite Sausages","27","$640.95","04/02/2024","Plastic"
"Generic Plastic Car","51","$706.17","03/04/2024","Metal"
"Incredible Rubber Computer","72","$226.87","03/31/2023","Steel"
"Refined Frozen Pizza","74","$532.42","01/23/2023","Soft"
"Bespoke Concrete Pants","71","$115.68","10/03/2023","Cotton"
"Modern Steel Chips","6","$267.69","11/24/2023","Concrete"
"Recycled Frozen Computer","38","$781.50","12/24/2022","Concrete"
"Oriental Soft Chips","14","$526.27","02/10/2023","Granite"
"Unbranded Concrete Towels","85","$715.37","04/13/2024","Cotton"
"Fantastic Plastic Cheese","9","$21.16","12/19/2023","Soft"
"Oriental Bronze Keyboard","43","$806.16","12/30/2022","Steel"
"Electronic Granite Chips","90","$389.27","06/01/2023","Rubber"
"Modern Fresh Pants","83","$831.87","11/06/2023","Metal"
"Fantastic Soft Gloves","95","$857.18","09/23/2023","Fresh"
"Modern Plastic Towels","9","$25.80","03/12/2024","Cotton"
"Oriental Frozen Shoes","55","$56.31","10/13/2023","Bronze"
"Gorgeous Frozen Car","58","$600.56","08/16/2023","Metal"
"Handmade Granite Pants","96","$41.73","02/05/2024","Concrete"
"Gorgeous Wooden Salad","40","$114.35","09/04/2023","Frozen"
"Rustic Soft Salad","93","$411.20","11/28/2023","Steel"
"Recycled Cotton Salad","49","$230.47","08/18/2023","Cotton"
"Oriental Cotton Chair","21","$325.54","10/27/2023","Plastic"
"Gorgeous Fresh Keyboard","55","$448.68","09/12/2023","Soft"
"Luxurious Plastic Soap","38","$650.14","02/19/2023","Granite"
"Handcrafted Steel Soap","95","$185.23","04/17/2023","Plastic"
"Elegant Rubber Computer","57","$837.92","11/14/2023","Cotton"
"Unbranded Wooden Chips","49","$632.82","02/22/2023","Metal"
"Luxurious Plastic Fish","79","$338.98","10/04/2023","Plastic"
"Awesome Steel Ball","8","$971.15","12/20/2022","Rubber"
"Oriental Metal Hat","12","$153.03","01/31/2024","Rubber"
"Practical Metal Chicken","84","$577.49","02/02/2023","Soft"
"Tasty Metal Pizza","69","$757.38","02/24/2024","Plastic"
"Sleek Rubber Hat","15","$38.63","02/19/2024","Metal"
"Fantastic Concrete Soap","21","$585.43","09/04/2023","Wooden"
"Awesome Wooden Pants","59","$282.47","10/20/2023","Fresh"
"Electronic Bronze Car","26","$822.52","04/14/2024","Metal"
"Modern Soft Gloves","23","$863.14","03/23/2023","Concrete"
"Practical Wooden Shoes","95","$181.92","01/08/2024","Plastic"
"Bespoke Soft Shoes","37","$407.33","03/07/2023","Concrete"
"Unbranded Soft Pizza","43","$230.93","08/09/2023","Granite"
"Sleek Bronze Gloves","46","$259.94","08/23/2023","Wooden"
"Gorgeous Rubber Cheese","31","$441.98","07/11/2023","Fresh"
"Electronic Plastic Salad","59","$49.60","02/02/2023","Fresh"
"Rustic Wooden Fish","60","$715.23","09/02/2023","Soft"
"Generic Metal Table","97","$573.30","02/18/2024","Concrete"
"Refined Wooden Bacon","8","$451.22","06/28/2023","Granite"
"Generic Metal Keyboard","93","$543.85","02/22/2024","Plastic"
"Sleek Fresh Table","42","$861.11","09/05/2023","Steel"
"Tasty Rubber Chair","88","$496.68","04/20/2023","Granite"
"Tasty Plastic Sausages","34","$478.86","06/18/2023","Plastic"
"Small Metal Bacon","68","$698.09","10/06/2023","Wooden"
"Refined Granite Bike","46","$512.15","05/13/2023","Plastic"
"Practical Frozen Bike","23","$635.71","04/02/2023","Cotton"
"Incredible Wooden Table","86","$423.37","02/05/2024","Granite"
"Incredible Metal Shoes","67","$989.11","04/10/2023","Fresh"
"Gorgeous Granite Ball","64","$429.80","01/21/2024","Rubber"
"Modern Granite Mouse","28","$868.68","07/20/2023","Concrete"
"Luxurious Frozen Shoes","94","$337.05","01/15/2023","Rubber"
"Practical Granite Soap","23","$847.16","06/17/2023","Steel"
"Refined Cotton Sausages","41","$977.14","01/28/2023","Cotton"
"Refined Plastic Car","97","$420.75","02/08/2023","Concrete"
"Handcrafted Soft Car","95","$705.12","08/12/2023","Wooden"
"Unbranded Plastic Fish","59","$671.68","10/23/2023","Frozen"
"Practical Wooden Tuna","93","$798.19","11/19/2023","Rubber"
"Tasty Wooden Hat","76","$910.76","09/03/2023","Concrete"
"Awesome Soft Sausages","7","$121.11","04/22/2023","Granite"
"Licensed Metal Tuna","34","$303.23","10/03/2023","Soft"
"Practical Wooden Soap","3","$563.70","09/07/2023","Bronze"
"Small Metal Keyboard","62","$275.99","08/05/2023","Fresh"
"Refined Steel Chicken","6","$91.20","07/16/2023","Granite"
"Handmade Frozen Hat","20","$611.14","12/18/2022","Cotton"
"Practical Fresh Car","58","$228.30","01/31/2023","Bronze"
"Refined Steel Mouse","27","$410.11","10/29/2023","Frozen"
"Generic Granite Ball","60","$527.09","01/26/2023","Soft"
"Ergonomic Bronze Cheese","96","$596.83","06/18/2023","Plastic"
"Modern Cotton Tuna","62","$522.83","04/23/2024","Steel"
"Rustic Concrete Chips","38","$692.14","03/20/2024","Steel"
"Unbranded Rubber Computer","40","$443.89","03/26/2024","Wooden"
"Small Cotton Fish","70","$7.19","10/22/2023","Metal"
"Licensed Rubber Bike","36","$766.45","04/11/2024","Cotton"
"Unbranded Rubber Ball","50","$149.73","01/31/2024","Fresh"
"Luxurious Frozen Towels","64","$831.25","03/25/2023","Soft"
"Fantastic Soft Computer","98","$568.42","04/26/2023","Cotton"
"Awesome Soft Towels","32","$785.30","03/02/2023","Steel"
"Small Cotton Pants","57","$610.79","07/05/2023","Plastic"
"Modern Metal Car","18","$982.22","11/19/2023","Bronze"
"Unbranded Soft Salad","7","$135.82","02/20/2023","Bronze"
"Incredible Soft Chicken","10","$603.31","01/03/2024","Granite"
"Luxurious Fresh Towels","91","$966.81","08/13/2023","Granite"
"Bespoke Concrete Soap","6","$913.00","07/29/2023","Frozen"
"Elegant Fresh Pants","28","$988.64","05/29/2023","Granite"
"Unbranded Rubber Shirt","66","$743.52","04/12/2024","Metal"
"Oriental Bronze Fish","80","$308.39","01/08/2024","Metal"
"Intelligent Granite Car","76","$29.24","03/13/2024","Wooden"
"Recycled Granite Chair","73","$815.33","07/04/2023","Soft"
"Practical Plastic Chicken","48","$27.44","06/16/2023","Rubber"
"Ergonomic Steel Bacon","8","$220.30","02/26/2024","Cotton"
"Awesome Plastic Table","82","$459.67","02/16/2023","Fresh"
"Incredible Granite Chips","43","$665.67","02/07/2023","Rubber"
"Sleek Soft Salad","15","$251.33","10/07/2023","Fresh"
"Ergonomic Steel Chips","76","$751.90","02/07/2024","Wooden"
"Recycled Soft Soap","62","$164.14","01/06/2024","Soft"
"Bespoke Soft Bacon","92","$747.36","11/21/2023","Metal"
"Sleek Fresh Shoes","21","$203.48","10/15/2023","Fresh"
"Modern Steel Shoes","3","$967.76","09/14/2023","Concrete"
"Refined Granite Shoes","63","$731.11","05/27/2023","Frozen"
"Elegant Concrete Computer","82","$695.29","03/05/2024","Metal"
"Fantastic Steel Shirt","58","$342.79","08/03/2023","Concrete"
"Small Bronze Shirt","62","$62.78","04/11/2024","Wooden"
"Ergonomic Soft Fish","27","$41.49","04/07/2024","Concrete"
"Practical Metal Cheese","48","$859.67","12/07/2023","Plastic"
"Practical Bronze Chips","96","$829.61","12/22/2022","Plastic"
"Gorgeous Plastic Ball","3","$380.59","08/20/2023","Fresh"
"Incredible Fresh Sausages","93","$806.59","01/06/2023","Plastic"
"Ergonomic Bronze Gloves","68","$934.00","02/23/2023","Bronze"
"Elegant Metal Car","47","$118.82","03/29/2023","Steel"
"Intelligent Frozen Pizza","9","$316.36","09/09/2023","Granite"
"Oriental Rubber Soap","74","$580.19","12/20/2022","Cotton"
"Handmade Frozen Sausages","82","$350.55","04/10/2024","Metal"
"Gorgeous Rubber Shoes","75","$902.80","07/17/2023","Metal"
"Bespoke Frozen Hat","42","$402.14","08/22/2023","Bronze"
"Electronic Cotton Computer","100","$232.21","01/20/2023","Plastic"
"Intelligent Concrete Fish","2","$53.78","02/08/2023","Plastic"
"Sleek Bronze Towels","36","$131.07","09/25/2023","Soft"
"Modern Concrete Chair","63","$593.37","02/26/2024","Wooden"
"Ergonomic Soft Gloves","84","$685.14","12/14/2023","Fresh"
"Electronic Frozen Cheese","70","$428.17","05/03/2023","Soft"
"Electronic Bronze Chair","8","$458.08","01/28/2023","Frozen"
"Handmade Cotton Cheese","61","$387.82","10/20/2023","Concrete"
"Luxurious Soft Chicken","74","$199.75","01/11/2023","Rubber"
"Ergonomic Rubber Gloves","57","$730.02","04/27/2024","Granite"
"Refined Bronze Soap","22","$792.01","01/11/2023","Frozen"
"Intelligent Soft Bike","96","$938.93","08/20/2023","Concrete"
"Rustic Concrete Hat","74","$51.60","10/04/2023","Concrete"
"Ergonomic Rubber Computer","40","$694.63","03/07/2024","Metal"
"Intelligent Cotton Shoes","88","$852.97","10/10/2023","Metal"
"Unbranded Metal Tuna","4","$868.32","01/01/2023","Frozen"
"Sleek Soft Gloves","19","$133.68","05/15/2023","Steel"
"Luxurious Frozen Hat","56","$689.46","08/25/2023","Metal"
"Refined Wooden Pants","65","$741.55","01/31/2024","Bronze"
"Small Wooden Chips","41","$176.55","11/22/2023","Bronze"
"Recycled Fresh Soap","63","$426.29","01/29/2023","Granite"
"Awesome Plastic Chips","58","$515.09","08/24/2023","Frozen"
"Incredible Granite Tuna","84","$423.35","09/29/2023","Wooden"
"Unbranded Steel Computer","8","$515.59","05/24/2023","Bronze"
"Luxurious Steel Fish","89","$607.90","04/29/2023","Granite"
"Fantastic Soft Bacon","6","$275.16","12/23/2023","Rubber"
"Ergonomic Cotton Salad","14","$710.69","04/21/2023","Plastic"
"Generic Concrete Chips","69","$125.97","01/03/2023","Granite"
"Tasty Fresh Gloves","31","$507.43","02/15/2024","Cotton"
"Recycled Wooden Pizza","54","$888.00","06/01/2023","Bronze"
"Awesome Granite Mouse","93","$982.92","08/19/2023","Rubber"
"Tasty Steel Car","21","$127.52","04/26/2024","Wooden"
"Practical Metal Ball","62","$525.98","10/14/2023","Concrete"
"Awesome Bronze Gloves","81","$646.27","01/02/2024","Soft"
"Ergonomic Concrete Fish","45","$155.24","02/06/2023","Steel"
"Gorgeous Concrete Mouse","83","$294.00","06/01/2023","Cotton"
"Bespoke Soft Gloves","36","$271.87","03/24/2024","Fresh"
"Electronic Rubber Towels","86","$853.12","02/10/2023","Frozen"
"Generic Rubber Shirt","26","$648.07","04/14/2023","Cotton"
"Handmade Plastic Pants","93","$332.76","02/26/2023","Concrete"
"Tasty Plastic Shoes","55","$85.00","07/12/2023","Granite"
"Gorgeous Cotton Bike","24","$578.92","01/02/2024","Cotton"
"Practical Cotton Cheese","42","$74.42","03/19/2024","Soft"
"Bespoke Metal Chair","10","$282.22","01/07/2024","Wooden"
"Unbranded Wooden Hat","57","$65.61","07/30/2023","Rubber"
"Modern Granite Computer","53","$460.25","07/29/2023","Bronze"
"Refined Concrete Mouse","80","$241.89","01/03/2024","Rubber"
"Electronic Rubber Towels","20","$875.57","02/05/2023","Steel"
"Bespoke Frozen Bike","43","$471.33","01/17/2023","Fresh"
"Handcrafted Granite Cheese","17","$228.06","04/22/2023","Granite"
"Fantastic Cotton Ball","7","$318.62","01/15/2024","Steel"
"Intelligent Steel Gloves","54","$198.11","05/02/2024","Wooden"
"Recycled Rubber Cheese","73","$869.34","11/03/2023","Cotton"
"Awesome Soft Soap","28","$415.78","10/31/2023","Metal"
"Ergonomic Metal Towels","71","$75.33","03/01/2023","Steel"
"Luxurious Granite Chair","60","$545.55","09/18/2023","Fresh"
"Intelligent Granite Towels","37","$299.41","04/22/2024","Concrete"
"Gorgeous Granite Keyboard","32","$399.84","05/13/2023","Steel"
"Elegant Steel Keyboard","57","$924.18","12/13/2022","Plastic"
"Gorgeous Bronze Chair","96","$803.73","03/19/2023","Wooden"
"Tasty Wooden Mouse","65","$566.96","04/29/2023","Cotton"
"Handcrafted Wooden Computer","7","$82.86","08/13/2023","Bronze"
"Refined Cotton Tuna","2","$369.90","07/18/2023","Bronze"
"Ergonomic Soft Pants","3","$865.78","01/24/2023","Bronze"
"Sleek Fresh Hat","33","$371.63","08/01/2023","Metal"
"Sleek Frozen Sausages","3","$459.85","04/13/2023","Frozen"
"Oriental Fresh Mouse","70","$127.93","09/13/2023","Rubber"
"Intelligent Metal Pants","48","$893.77","09/16/2023","Fresh"
"Fantastic Granite Keyboard","96","$978.67","04/10/2024","Bronze"
"Intelligent Fresh Soap","93","$907.51","11/14/2023","Steel"
"Awesome Metal Salad","70","$930.09","07/17/2023","Steel"
"Bespoke Fresh Chair","43","$750.60","12/21/2022","Fresh"
"Awesome Fresh Chair","59","$472.26","04/10/2024","Metal"
"Gorgeous Frozen Chicken","23","$558.32","06/19/2023","Cotton"
"Recycled Steel Cheese","36","$601.43","12/25/2023","Metal"
"Elegant Rubber Shoes","11","$254.13","01/21/2023","Granite"
"Rustic Fresh Table","4","$988.60","04/08/2024","Rubber"
"Gorgeous Steel Keyboard","91","$967.94","01/21/2024","Bronze"
"Elegant Metal Keyboard","37","$706.38","07/29/2023","Bronze"
"Fantastic Soft Towels","65","$744.39","05/03/2023","Bronze"
"Intelligent Granite Mouse","41","$392.23","03/27/2023","Wooden"
"Practical Steel Bacon","73","$140.17","10/30/2023","Bronze"
"Small Soft Gloves","58","$25.10","10/22/2023","Soft"
"Electronic Granite Cheese","23","$832.06","03/10/2023","Concrete"
"Handmade Fresh Cheese","80","$519.44","10/10/2023","Wooden"
"Electronic Granite Computer","38","$128.68","12/22/2023","Granite"
"Practical Fresh Towels","73","$688.98","10/13/2023","Soft"
"Gorgeous Bronze Cheese","79","$908.03","10/15/2023","Soft"
"Handcrafted Frozen Mouse","94","$790.13","01/02/2024","Metal"
"Incredible Cotton Shirt","5","$812.24","06/25/2023","Concrete"
"Refined Soft Table","82","$633.78","09/16/2023","Bronze"
"Elegant Cotton Chair","54","$26.64","11/30/2023","Fresh"
"Ergonomic Cotton Sausages","81","$590.81","01/19/2024","Concrete"
"Generic Steel Mouse","68","$197.80","04/27/2024","Fresh"
"Handcrafted Plastic Bacon","38","$159.35","12/20/2022","Bronze"
"Rustic Bronze Chicken","15","$766.91","12/20/2022","Concrete"
"Ergonomic Metal Gloves","83","$482.43","06/23/2023","Frozen"
"Rustic Concrete Chicken","48","$515.85","08/06/2023","Fresh"
"Oriental Steel Fish","16","$56.95","06/25/2023","Frozen"
"Tasty Frozen Chips","30","$505.01","10/08/2023","Rubber"
"Recycled Bronze Tuna","14","$952.34","10/05/2023","Bronze"
"Handcrafted Cotton Sausages","32","$883.97","01/19/2023","Concrete"
"Recycled Metal Chair","38","$418.21","04/23/2024","Concrete"
"Handcrafted Granite Bike","60","$382.91","01/04/2024","Concrete"
"Modern Metal Chicken","45","$390.22","04/22/2023","Plastic"
"Awesome Granite Tuna","61","$590.41","02/05/2024","Concrete"
"Rustic Granite Chicken","6","$956.04","05/16/2023","Metal"
"Modern Frozen Sausages","48","$322.34","10/06/2023","Frozen"
"Awesome Fresh Soap","14","$232.21","02/02/2024","Frozen"
"Bespoke Concrete Sausages","85","$830.54","08/25/2023","Cotton"
"Licensed Concrete Shirt","30","$674.95","04/29/2023","Plastic"
"Awesome Soft Chair","56","$182.40","04/20/2024","Fresh"
"Incredible Bronze Bacon","18","$65.96","04/30/2024","Bronze"
"Ergonomic Steel Shirt","21","$559.23","02/22/2023","Bronze"
"Practical Bronze Shoes","78","$387.01","09/11/2023","Concrete"
"Modern Granite Chicken","61","$208.83","04/02/2023","Bronze"
"Handcrafted Plastic Soap","25","$372.50","09/29/2023","Steel"
"Modern Bronze Shirt","47","$442.26","04/13/2023","Soft"
"Gorgeous Frozen Bike","32","$235.48","04/05/2023","Plastic"
"Refined Plastic Keyboard","83","$289.85","02/01/2023","Rubber"
"Intelligent Wooden Gloves","19","$961.25","01/18/2023","Steel"
"Awesome Metal Chicken","17","$211.66","08/02/2023","Plastic"
"Gorgeous Rubber Cheese","80","$674.65","12/31/2022","Plastic"
"Generic Granite Chair","99","$818.51","09/13/2023","Steel"
"Handmade Bronze Chair","84","$161.36","09/18/2023","Frozen"
"Awesome Concrete Soap","7","$217.33","11/08/2023","Concrete"
"Fantastic Metal Keyboard","74","$944.45","03/24/2023","Steel"
"Refined Cotton Pants","59","$901.66","03/22/2024","Concrete"
"Bespoke Fresh Soap","72","$466.57","02/22/2024","Cotton"
"Small Plastic Table","75","$403.00","03/02/2024","Bronze"
"Handcrafted Fresh Chicken","92","$422.80","03/25/2023","Steel"
"Sleek Bronze Table","64","$642.13","11/22/2023","Bronze"
"Awesome Frozen Salad","26","$743.73","03/27/2023","Concrete"
"Awesome Plastic Chips","67","$10.58","04/12/2023","Concrete"
"Handcrafted Rubber Towels","41","$608.55","03/21/2024","Plastic"
"Ergonomic Wooden Computer","10","$711.91","03/02/2024","Metal"
"Refined Cotton Hat","16","$630.64","01/25/2024","Granite"
"Intelligent Frozen Car","55","$110.34","01/08/2023","Granite"
"Intelligent Concrete Hat","22","$510.00","04/15/2023","Steel"
"Tasty Wooden Chicken","60","$274.44","02/28/2024","Fresh"
"Electronic Rubber Pants","65","$145.46","04/15/2023","Cotton"
"Handcrafted Granite Ball","95","$315.27","06/18/2023","Fresh"
"Modern Plastic Computer","64","$994.28","02/24/2023","Concrete"
"Bespoke Concrete Bacon","9","$250.93","09/02/2023","Plastic"
"Generic Cotton Soap","37","$773.01","06/26/2023","Steel"
"Practical Wooden Gloves","45","$62.01","01/20/2024","Wooden"
"Refined Steel Pizza","46","$279.01","04/23/2024","Soft"
"Recycled Wooden Soap","75","$492.39","02/22/2024","Metal"
"Unbranded Fresh Tuna","84","$566.20","12/10/2023","Wooden"
"Tasty Bronze Chair","89","$485.99","05/21/2023","Fresh"
"Bespoke Soft Cheese","62","$345.06","08/28/2023","Metal"
"Recycled Fresh Hat","3","$476.45","12/03/2023","Plastic"
"Rustic Steel Computer","75","$354.65","12/05/2023","Concrete"
"Bespoke Soft Keyboard","23","$295.59","08/07/2023","Plastic"
"Fantastic Metal Cheese","9","$540.35","04/06/2023","Steel"
"Ergonomic Wooden Table","75","$200.43","05/13/2023","Bronze"
"Sleek Bronze Sausages","94","$954.69","12/22/2022","Wooden"
"Handcrafted Steel Soap","87","$807.09","10/21/2023","Steel"
"Handcrafted Bronze Salad","89","$917.72","04/06/2023","Wooden"
"Awesome Soft Mouse","42","$855.61","11/28/2023","Plastic"
"Intelligent Soft Chicken","18","$788.15","07/24/2023","Granite"
"Refined Soft Cheese","50","$685.05","04/19/2023","Granite"
"Handcrafted Steel Bike","19","$152.02","08/18/2023","Concrete"
"Refined Wooden Chair","37","$539.39","02/16/2024","Plastic"
"Ergonomic Fresh Computer","97","$207.74","06/29/2023","Bronze"
"Elegant Cotton Pizza","54","$41.04","04/23/2024","Metal"
"Ergonomic Fresh Soap","28","$584.79","01/25/2024","Wooden"
"Small Plastic Fish","3","$8.44","04/04/2023","Cotton"
"Handmade Plastic Sausages","31","$178.15","02/29/2024","Plastic"
"Handcrafted Bronze Mouse","56","$101.68","07/17/2023","Metal"
"Intelligent Plastic Chair","64","$113.04","05/05/2023","Bronze"
"Modern Plastic Fish","74","$48.26","07/01/2023","Metal"
"Handmade Soft Chicken","88","$442.13","01/12/2023","Fresh"
"Handcrafted Concrete Shirt","24","$863.95","02/19/2023","Rubber"
"Handcrafted Metal Computer","68","$63.44","08/23/2023","Bronze"
"Oriental Wooden Tuna","38","$962.65","11/20/2023","Steel"
"Tasty Cotton Computer","5","$313.98","07/16/2023","Soft"
"Tasty Granite Towels","69","$266.17","08/05/2023","Steel"
"Handcrafted Bronze Shirt","61","$412.40","04/02/2023","Metal"
"Luxurious Steel Shoes","30","$882.65","04/18/2024","Cotton"
"Licensed Plastic Shoes","65","$135.06","10/22/2023","Soft"
"Modern Fresh Salad","74","$709.46","03/15/2024","Concrete"
"Awesome Frozen Car","34","$690.35","03/22/2023","Plastic"
"Small Plastic Sausages","12","$558.54","01/27/2023","Plastic"
"Elegant Bronze Car","33","$930.10","01/19/2024","Concrete"
"Oriental Metal Pizza","51","$940.37","02/13/2024","Cotton"
"Fantastic Soft Table","14","$31.71","02/04/2023","Plastic"
"Elegant Granite Ball","86","$771.56","05/18/2023","Bronze"
"Modern Fresh Gloves","71","$463.25","03/15/2024","Concrete"
"Handcrafted Fresh Tuna","94","$591.24","04/23/2023","Frozen"
"Sleek Cotton Hat","73","$388.76","11/19/2023","Metal"
"Fantastic Cotton Bike","71","$571.61","02/08/2024","Steel"
"Gorgeous Concrete Chicken","73","$223.65","02/03/2023","Plastic"
"Oriental Granite Sausages","52","$7.55","12/15/2022","Metal"
"Handmade Rubber Bike","42","$493.78","02/17/2023","Bronze"
"Refined Metal Salad","9","$835.51","02/04/2023","Concrete"
"Elegant Concrete Keyboard","34","$802.69","04/29/2024","Concrete"
"Rustic Granite Bike","57","$706.19","08/04/2023","Frozen"
"Recycled Steel Car","4","$47.60","10/21/2023","Soft"
"Fantastic Frozen Pants","2","$853.71","09/19/2023","Cotton"
"Rustic Frozen Keyboard","95","$180.90","06/09/2023","Granite"
"Refined Wooden Chicken","9","$526.20","03/22/2024","Concrete"
"Recycled Plastic Car","90","$752.69","02/13/2024","Frozen"
"Bespoke Concrete Towels","11","$814.54","07/07/2023","Bronze"
"Intelligent Bronze Fish","96","$383.99","02/16/2024","Rubber"
"Practical Soft Bacon","88","$336.36","07/26/2023","Rubber"
"Generic Steel Chair","86","$702.88","02/08/2023","Granite"
"Practical Cotton Pizza","80","$199.12","09/10/2023","Frozen"
"Ergonomic Plastic Soap","4","$238.77","04/15/2023","Soft"
"Practical Concrete Computer","81","$316.71","10/26/2023","Cotton"
"Handmade Plastic Computer","83","$110.38","05/28/2023","Bronze"
"Awesome Concrete Bacon","60","$278.53","04/14/2024","Soft"
